cluster,Label
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
5,rice
7,maize
6,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
7,maize
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,chickpea
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
0,kidneybeans
3,pigeonpeas
3,pigeonpeas
3,pigeonpeas
3,pigeonpeas
3,pigeonpeas
3,pigeonpeas
3,pigeonpeas
3,pigeonpeas
3,pigeonpeas
3,pigeonpeas
3,pigeonpeas
6,pigeonpeas
3,pigeonpeas
6,pigeonpeas
3,pigeonpeas
3,pigeonpeas
3,pigeonpeas
0,pigeonpeas
3,pigeonpeas
3,pigeonpeas
3,pigeonpeas
3,pigeonpeas
0,pigeonpeas
3,pigeonpeas
0,pigeonpeas
0,pigeonpeas
3,pigeonpeas
3,pigeonpeas
3,pigeonpeas
0,pigeonpeas
3,pigeonpeas
3,pigeonpeas
3,pigeonpeas
0,pigeonpeas
3,pigeonpeas
0,pigeonpeas
3,pigeonpeas
6,pigeonpeas
0,pigeonpeas
3,pigeonpeas
3,pigeonpeas
3,pigeonpeas
3,pigeonpeas
3,pigeonpeas
0,pigeonpeas
6,pigeonpeas
0,pigeonpeas
6,pigeonpeas
